#HJD-2450000 RV1 ERR_RV1 RV2 ERR_RV2
4822.7534 176.99 20.49 552.48 10.05 
4822.7750 187.25 17.03 538.42 8.45 
4822.7967 125.75 11.53 557.81 5.60 
4822.8183 115.43 10.21 556.36 4.91 
4822.8401 124.56 9.77 562.31 4.66 
4822.8617 104.09 7.92 561.00 3.73 
4824.8322 300.37 8.89 435.54 18.02 
4824.8538 294.12 7.75 437.45 16.17 
4858.7195 240.20 4.47 62.98 9.44 
4858.7411 353.12 10.52 103.42 5.17 
4889.5516 452.64 8.97 8.80 4.28 
4889.5732 434.49 7.44 7.97 3.55 
5114.7681 63.58 23.25 537.01 10.99 
5114.7898 108.87 16.51 536.37 7.85 
6210.8665 284.80 10.91 349.29 5.21 
6217.8419 259.91 15.91 331.61 7.74 
6243.8495 118.61 6.48 539.34 3.08 
6256.7724 419.93 7.46 11.24 3.57 
6257.6419 198.99 6.74 438.55 3.21 
6277.8198 408.05 8.50 -2.85 4.14 
6283.5605 133.34 8.74 553.77 4.16 
6294.7107 259.36 33.54 257.81 16.29 
6295.6932 176.51 8.54 449.56 4.14 
6304.7476 136.15 23.89 594.45 11.56 
6305.7432 422.49 6.22 9.36 2.97 
6306.7306 164.09 9.96 492.62 4.87 
6308.6662 291.61 10.30 213.42 4.98 
6316.7168 175.69 10.17 419.42 4.97 
6347.5248 386.52 7.81 90.25 3.72 
6349.5331 247.63 12.27 321.27 5.95 
6352.5357 441.85 7.84 25.74 3.76 
6356.5161 239.16 9.91 339.56 4.81 
6571.8554 392.84 30.30 8.63 14.84 
6582.8540 272.91 132.20 300.52 65.33 
6586.7589 147.04 8.03 500.40 3.81 
6597.7390 441.47 22.81 40.15 11.13 
6620.7689 440.70 7.76 22.84 3.72 
6627.6756 412.68 8.48 41.40 4.04 
6645.5549 123.11 7.03 525.15 3.32 
6653.7922 464.47 6.37 70.90 3.07 
6693.6292 254.65 3.59 115.96 7.42 
6697.6746 420.12 8.98 39.00 4.26 
6703.6446 132.86 14.81 548.11 7.18 
6714.5348 217.39 3.82 52.13 7.98 
6719.5332 306.01 28.01 319.94 13.53 
6723.6843 446.52 8.92 27.70 4.25 
