#HJD-2450000 Imag ERR_Imag
5260.64296 15.039 0.005
5261.64632 15.006 0.005
5262.64009 15.043 0.006
5264.60750 15.325 0.006
5265.60876 15.269 0.007
5266.60133 15.093 0.006
5267.61457 15.030 0.006
5268.59721 15.001 0.006
5269.56649 15.069 0.006
5270.55309 15.174 0.006
5271.57589 15.340 0.006
5273.56434 15.093 0.006
5274.59547 15.025 0.006
5275.57871 15.003 0.005
5276.57476 15.061 0.005
5279.56288 15.204 0.006
5281.53830 15.001 0.005
5282.55775 15.000 0.006
5284.56137 15.142 0.006
5286.54406 15.189 0.006
5288.55772 15.017 0.006
5291.55185 15.156 0.006
5293.54320 15.184 0.006
5295.49934 14.993 0.006
5297.52506 15.093 0.006
5298.57010 15.143 0.006
5301.53090 15.049 0.006
5306.52737 15.358 0.006
5308.53511 15.065 0.006
5309.55579 15.015 0.006
5310.55563 14.997 0.006
5311.52202 15.085 0.006
5313.50467 15.328 0.007
5314.51946 15.148 0.007
5322.46695 15.033 0.006
5325.48124 15.116 0.006
5327.48355 15.306 0.006
5335.47424 15.129 0.006
5341.49572 15.322 0.007
5343.49832 15.057 0.006
5430.91646 15.012 0.005
5439.92600 15.053 0.006
5444.89610 15.019 0.005
5448.91500 15.339 0.006
5451.82841 14.998 0.005
5454.90739 15.155 0.006
5457.77129 15.029 0.005
5459.88324 15.014 0.005
5462.88155 15.360 0.006
5467.85212 15.104 0.005
5468.84104 15.241 0.006
5470.81598 15.114 0.005
5471.86371 15.075 0.005
5473.79855 15.038 0.005
5477.80055 15.134 0.005
5478.80801 15.047 0.005
5481.74738 15.169 0.006
5483.78061 15.243 0.006
5484.79273 15.109 0.005
5485.81951 15.030 0.005
5487.74125 15.076 0.005
5488.74340 15.168 0.005
5489.83566 15.257 0.005
5490.74452 15.204 0.006
5491.85791 15.158 0.006
5492.77997 15.019 0.005
5493.80227 14.992 0.005
5494.84703 15.038 0.006
5495.80418 15.122 0.005
5496.80202 15.301 0.006
5497.83216 15.329 0.006
5499.73919 15.005 0.005
5502.80934 15.125 0.005
5503.76457 15.345 0.006
5505.73426 15.075 0.005
5506.75177 15.030 0.005
5507.76988 14.983 0.005
5509.67826 15.248 0.005
5510.73416 15.375 0.006
5511.71039 15.177 0.006
5512.75345 15.086 0.005
5513.72377 15.019 0.005
5514.75630 15.022 0.005
5515.67356 15.087 0.005
5516.75912 15.158 0.005
5517.67224 15.344 0.006
5518.76867 15.230 0.006
5519.69506 15.053 0.006
5521.71192 15.003 0.005
5522.73706 15.052 0.005
5523.70175 15.217 0.006
5524.71020 15.362 0.005
5525.74325 15.199 0.005
5526.69532 15.072 0.005
5527.77604 15.024 0.005
5528.71714 15.015 0.005
5529.69741 15.070 0.005
5530.70463 15.217 0.005
5531.78783 15.324 0.005
5532.69597 15.159 0.005
5533.71932 15.066 0.006
5534.75081 15.016 0.005
5535.72769 15.003 0.005
5536.73032 15.064 0.005
5539.74059 15.208 0.005
5540.82475 15.150 0.005
5541.69091 15.010 0.006
5542.75006 15.017 0.005
5543.78086 15.046 0.006
5544.76832 15.167 0.005
5545.75762 15.367 0.006
5546.70729 15.164 0.006
5547.76709 15.097 0.006
5548.72833 15.015 0.005
5549.69485 15.021 0.005
5550.74711 15.072 0.005
5551.70459 15.217 0.006
5553.75060 15.212 0.006
5556.69860 15.030 0.006
5557.67973 15.096 0.005
5558.68064 15.245 0.006
5559.72383 15.370 0.006
5560.66252 15.132 0.005
5561.69631 15.045 0.006
5562.71565 15.008 0.005
5563.64961 15.032 0.005
5565.68153 15.254 0.005
5566.70821 15.368 0.005
5568.72851 15.066 0.005
5569.72307 15.008 0.005
5570.76260 15.001 0.005
5571.69418 15.085 0.005
5572.81082 15.120 0.005
5575.71516 15.064 0.005
5576.68932 14.991 0.005
5577.69160 15.009 0.005
5578.69787 15.084 0.005
5579.74884 15.162 0.006
5580.69288 15.356 0.006
5581.69499 15.140 0.005
5582.70197 15.060 0.005
5583.70924 15.010 0.005
5584.69474 15.015 0.005
5585.69463 15.084 0.005
5586.65841 15.287 0.006
5587.64057 15.289 0.005
5588.74450 15.184 0.005
5589.65054 15.050 0.005
5590.62906 15.012 0.005
5591.68787 15.017 0.005
5592.67012 15.097 0.005
5593.65310 15.273 0.006
5594.66933 15.340 0.006
5595.64797 15.120 0.005
5596.71109 15.064 0.005
5597.62856 15.014 0.005
5598.69487 15.004 0.005
5599.65850 15.106 0.005
5600.69121 15.237 0.005
5601.67085 15.330 0.005
5602.66959 15.139 0.005
5603.67627 15.042 0.005
5604.67667 15.005 0.005
5605.67920 15.016 0.005
5606.69113 15.081 0.005
5607.70205 15.223 0.006
5608.69265 15.319 0.006
5609.71988 15.172 0.006
5611.65046 14.994 0.005
5612.70298 14.995 0.006
5613.66614 15.099 0.005
5614.65846 15.264 0.005
5615.65187 15.304 0.005
5616.66788 15.140 0.005
